[2024-05-13 15:16:12.386]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 15:16:12.396]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 15:16:12.419]	 Already installed "tmux-cpu"
[2024-05-13 15:16:12.431]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 15:16:12.442]	 Updating all plugins!
[2024-05-13 15:16:12.442]	 
[2024-05-13 15:16:13.179]	   "tmux-cpu" update success
[2024-05-13 15:16:13.180]	     | Already up to date.
[2024-05-13 15:16:13.191]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 15:16:13.223]	 Done.

[2024-05-13 15:17:38.710]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 15:17:38.724]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 15:17:38.756]	 Already installed "tmux-cpu"
[2024-05-13 15:17:38.772]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 15:17:38.788]	 Updating all plugins!
[2024-05-13 15:17:38.788]	 
[2024-05-13 15:17:39.592]	   "tmux-cpu" update success
[2024-05-13 15:17:39.598]	     | Already up to date.
[2024-05-13 15:17:39.623]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 15:17:39.655]	 Done.

[2024-05-13 15:18:41.677]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 15:18:41.687]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 15:18:41.708]	 Already installed "tmux-cpu"
[2024-05-13 15:18:41.719]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 15:18:41.730]	 Updating all plugins!
[2024-05-13 15:18:41.730]	 
[2024-05-13 15:18:42.484]	   "tmux-cpu" update success
[2024-05-13 15:18:42.491]	     | Already up to date.
[2024-05-13 15:18:42.535]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 15:18:42.585]	 Done.

[2024-05-13 15:19:33.264]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 15:19:33.277]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 15:19:33.298]	 Already installed "tmux-cpu"
[2024-05-13 15:19:33.309]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 15:19:33.319]	 Updating all plugins!
[2024-05-13 15:19:33.319]	 
[2024-05-13 15:19:34.079]	   "tmux-cpu" update success
[2024-05-13 15:19:34.086]	     | Already up to date.
[2024-05-13 15:19:34.109]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 15:19:34.141]	 Done.

[2024-05-13 17:08:17.749]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 17:08:17.763]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 17:08:17.788]	 Already installed "tmux-cpu"
[2024-05-13 17:08:17.799]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 17:08:17.810]	 Updating all plugins!
[2024-05-13 17:08:17.810]	 
[2024-05-13 17:08:18.544]	   "tmux-cpu" update success
[2024-05-13 17:08:18.551]	     | Already up to date.
[2024-05-13 17:08:18.603]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 17:08:18.637]	 Done.

[2024-05-13 17:09:59.011]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 17:09:59.029]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 17:09:59.065]	 Already installed "tmux-cpu"
[2024-05-13 17:09:59.085]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 17:09:59.099]	 Updating all plugins!
[2024-05-13 17:09:59.099]	 
[2024-05-13 17:09:59.847]	   "tmux-cpu" update success
[2024-05-13 17:09:59.849]	     | Already up to date.
[2024-05-13 17:09:59.871]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 17:09:59.929]	 Done.

[2024-05-13 17:10:35.907]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 17:10:35.918]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 17:10:35.939]	 Already installed "tmux-cpu"
[2024-05-13 17:10:35.952]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 17:10:35.964]	 Updating all plugins!
[2024-05-13 17:10:35.964]	 
[2024-05-13 17:10:36.711]	   "tmux-cpu" update success
[2024-05-13 17:10:36.713]	     | Already up to date.
[2024-05-13 17:10:36.724]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 17:10:36.754]	 Done.

[2024-05-13 21:35:33.998]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 21:35:34.016]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 21:35:34.051]	 Already installed "tmux-cpu"
[2024-05-13 21:35:34.072]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 21:35:34.090]	 Updating all plugins!
[2024-05-13 21:35:34.090]	 
[2024-05-13 21:35:34.738]	   "tmux-cpu" update success
[2024-05-13 21:35:34.739]	     | Already up to date.
[2024-05-13 21:35:34.751]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 21:35:34.784]	 Done.

[2024-05-13 21:40:04.531]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 21:40:04.543]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 21:40:04.567]	 Already installed "tmux-cpu"
[2024-05-13 21:40:04.580]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 21:40:04.592]	 Updating all plugins!
[2024-05-13 21:40:04.592]	 
[2024-05-13 21:40:05.234]	   "tmux-cpu" update success
[2024-05-13 21:40:05.239]	     | Already up to date.
[2024-05-13 21:40:05.284]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 21:40:05.334]	 Done.

